Aanensen, Vic	Sydney (1973-1976)	players/V/Vic_Aanensen.html
Abbey, Angus	Western Bulldogs (1949-1954)	players/A/Angus_Abbey.html
Abbey, Ross	Western Bulldogs (1971-1981)	players/R/Ross_Abbey.html
Abbott, Charles	Hawthorn (1961-1963)	players/C/Charles_Abbott.html
Abbott, Clarrie	Collingwood (1907), Melbourne (1912)	players/C/Clarrie_Abbott.html
Abbott, Ernie	St Kilda (1908)	players/E/Ernie_Abbott.html
Abbott, Frank	Fitzroy (1906-1912)	players/F/Frank_Abbott.html
Abbott, Gordon	Geelong (1936-1938), Essendon (1941-1947)	players/G/Gordon_Abbott.html
Abbott, Les	Collingwood (1904), Carlton (1905), Richmond (1910-1911), Melbourne (1912), Sydney (1912)	players/L/Les_Abbott.html
Abbott, Paddy	Sydney (1913), Fitzroy (1914-1918), Richmond (1919-1920)	players/P/Paddy_Abbott.html
Abbott, Paul	Hawthorn (1984-1991), Fitzroy (1992-1993)	players/P/Paul_Abbott.html
Abercrombie, Percy	Essendon (1903), Sydney (1905)	players/P/Percy_Abercrombie.html
Abernethy, Bob	Melbourne (1923)	players/B/Bob_Abernethy.html
Abernethy, Bruce	North Melbourne (1982-1983), Collingwood (1984-1986), Adelaide (1991-1992)	players/B/Bruce_Abernethy.html
Abernethy, Jim	Melbourne (1923-1932)	players/J/Jim_Abernethy.html
Abikhair, Dick	Hawthorn (1934-1938), North Melbourne (1941-1945)	players/D/Dick_Abikhair.html
Ablett, Gary	Hawthorn (1982), Geelong (1984-1996)	players/G/Gary_Ablett0.html
Ablett, Gary	Geelong (2002-2010), Gold Coast (2011-2015)	players/G/Gary_Ablett1.html
Ablett, Geoff	Hawthorn (1973-1982), Richmond (1983-1984), St Kilda (1985)	players/G/Geoff_Ablett.html
Ablett, Kevin	Hawthorn (1977-1980), Richmond (1984), Geelong (1985)	players/K/Kevin_Ablett.html
Ablett, Len	Richmond (1939-1943)	players/L/Len_Ablett.html
Ablett, Luke	Sydney (2002-2009)	players/L/Luke_Ablett.html
Ablett, Nathan	Geelong (2005-2007), Gold Coast (2011)	players/N/Nathan_Ablett.html
Abraham, Ian	Collingwood (1960-1961)	players/I/Ian_Abraham.html
Abraham, Winston	Fremantle (1995-1997), North Melbourne (1998-2001)	players/W/Winston_Abraham.html
Abrahams, Owen	Fitzroy (1954-1962)	players/O/Owen_Abrahams.html
Absolom, Ted	Collingwood (1900)	players/T/Ted_Absolom.html
Ackerly, David	Sydney (1979-1985), North Melbourne (1986-1989)	players/D/David_Ackerly.html
Ackland, Cain	Port Adelaide (2001), St Kilda (2005-2006), Carlton (2007-2008)	players/C/Cain_Ackland.html
Acres, Blake	St Kilda (2014-2015)	players/B/Blake_Acres.html
Adam, Ken	Essendon (1922-1925)	players/K/Ken_Adam.html
Adam, Roy	St Kilda (1901), Melbourne (1904-1905)	players/R/Roy_Adam.html
Adams, Artie	Sydney (1915)	players/A/Artie_Adams.html
Adams, Bill	Fitzroy (1924-1926), Melbourne (1931-1932)	players/B/Bill_Adams.html
Adams, Ernie	Melbourne (1900-1901)	players/E/Ernie_Adams.html
Adams, Frank	Melbourne (1953-1964)	players/F/Frank_Adams.html
Adams, Leigh	North Melbourne (2007-2014)	players/L/Leigh_Adams.html
Adams, Peter	Collingwood (1986-1987)	players/P/Peter_Adams.html
Adams, Robert	Geelong (1970-1971)	players/R/Robert_Adams.html
Adams, Taylor	Greater Western Sydney (2012-2013), Collingwood (2014-2015)	players/T/Taylor_Adams.html
Adamson, Arthur	Sydney (1902-1903)	players/A/Arthur_Adamson.html
Adamson, Dave	Sydney (1897-1903)	players/D/Dave_Adamson.html
Adamson, Jack	Sydney (1897-1898)	players/J/Jack_Adamson.html
Adamson, Jim	North Melbourne (1929-1941)	players/J/Jim_Adamson.html
Adamson, Lee	Collingwood (1966-1973)	players/L/Lee_Adamson.html
Adcock, Jed	Brisbane Lions (2004-2015)	players/J/Jed_Adcock.html
Addison, Bob	Western Bulldogs (1931)	players/B/Bob_Addison.html
Addison, Dylan	Western Bulldogs (2006-2013), Greater Western Sydney (2014)	players/D/Dylan_Addison.html
Addison, Jim	Collingwood (1903-1904)	players/J/Jim_Addison.html
Adkins, Damien	Collingwood (2000-2002), West Coast (2003-2005)	players/D/Damien_Adkins.html
Agrums, Peter	North Melbourne (1963-1964)	players/P/Peter_Agrums.html
Ah Chee, Brendon	Port Adelaide (2015)	players/B/Brendon_Ah_Chee.html
Ahern, Bill	St Kilda (1897)	players/B/Bill_Ahern0.html
Ahern, Bill	Carlton (1897)	players/B/Bill_Ahern1.html
Ahern, Charlie	Collingwood (1929)	players/C/Charlie_Ahern.html
Ahern, John	Melbourne (1989)	players/J/John_Ahern.html
AhMat, Matthew	Brisbane Bears (1991-1992), Sydney (1994)	players/M/Matthew_AhMat.html
AhMat, Robert	Collingwood (1995-1997), Sydney (1998-2001)	players/R/Robert_AhMat.html
Ainslie, Brodie	St Kilda (1911)	players/B/Brodie_Ainslie.html
Ainsworth, Geoff	Geelong (1967-1974)	players/G/Geoff_Ainsworth.html
Aish, James	Brisbane Lions (2014-2015)	players/J/James_Aish.html
Aitchison, Ern	Hawthorn (1931)	players/E/Ern_Aitchison.html
Aitchison, Jack	Hawthorn (1935)	players/J/Jack_Aitchison.html
Aitken, Chris	Melbourne (1967-1977)	players/C/Chris_Aitken.html
Aitken, Ian	Carlton (1987-1992), St Kilda (1993)	players/I/Ian_Aitken.html
Aitken, James	Geelong (1903)	players/J/James_Aitken.html
Aitken, Jimmy	Carlton (1897-1898), Melbourne (1898)	players/J/Jimmy_Aitken.html
Aitken, Ken	Carlton (1948-1951), Collingwood (1952)	players/K/Ken_Aitken.html
Aitken, Michael	Carlton (1985)	players/M/Michael_Aitken.html
Aitken, Peter	Carlton (1955)	players/P/Peter_Aitken.html
Aked, Frank	Western Bulldogs (1925-1932), Hawthorn (1933)	players/F/Frank_Aked0.html
Aked, Frank	Western Bulldogs (1951-1952)	players/F/Frank_Aked1.html
Akermanis, Jason	Brisbane Bears (1995-1996), Brisbane Lions (1997-2006), Western Bulldogs (2007-2010)	players/J/Jason_Akermanis.html
Albiston, Alec	Hawthorn (1936-1949), North Melbourne (1950)	players/A/Alec_Albiston.html
Albiston, David	Hawthorn (1962-1966)	players/D/David_Albiston.html
Albiston, Harold	Collingwood (1935), Hawthorn (1936-1940)	players/H/Harold_Albiston.html
Albiston, Ken	Richmond (1946-1951), Melbourne (1952-1954)	players/K/Ken_Albiston.html
Albress, Bill	Richmond (1917-1918)	players/B/Bill_Albress.html
