Season,Team,Round,NextRound
2011,Gold Coast,R1,R2
2011,Adelaide,R2,R3
2011,North Melbourne,R3,R4
2011,Western Bulldogs,R4,R5
2011,St Kilda,R4,R5
2011,Brisbane Lions,R4,R5
2011,Melbourne,R5,R6
2011,Sydney,R5,R6
2011,West Coast,R5,R6
2011,Fremantle,R6,R7
2011,Geelong,R6,R7
2011,Hawthorn,R6,R7
2011,Collingwood,R7,R8
2011,Carlton,R8,R9
2011,Gold Coast,R9,R10
2011,Essendon,R10,R11
2011,Richmond,R11,R12
2011,Port Adelaide,R12,R13
2011,Collingwood,R13,R14
2011,St Kilda,R14,R15
2011,West Coast,R15,R16
2011,Adelaide,R16,R17
2011,Fremantle,R16,R17
2011,Melbourne,R16,R17
2011,Hawthorn,R17,R18
2011,Port Adelaide,R18,R19
2011,Richmond,R19,R20
2011,Sydney,R19,R20
2011,Brisbane Lions,R19,R20
2011,Western Bulldogs,R20,R21
2011,North Melbourne,R21,R22
2011,Geelong,R22,R23
2011,Carlton,R23,R24
2011,Essendon,R24,EF
2012,Adelaide,R11,R12
2012,Western Bulldogs,R11,R12
2012,North Melbourne,R11,R12
2012,West Coast,R11,R12
2012,Brisbane Lions,R11,R12
2012,GWS,R11,R12
2012,Collingwood,R12,R13
2012,Essendon,R12,R13
2012,Fremantle,R12,R13
2012,Geelong,R12,R13
2012,Melbourne,R12,R13
2012,Sydney,R12,R13
2012,Carlton,R13,R14
2012,Hawthorn,R13,R14
2012,Port Adelaide,R13,R14
2012,Richmond,R13,R14
2012,St Kilda,R13,R14
2012,Gold Coast,R13,R14
2013,Western Bulldogs,R11,R12
2013,Fremantle,R11,R12
2013,Hawthorn,R11,R12
2013,Port Adelaide,R11,R12
2013,Richmond,R11,R12
2013,Brisbane Lions,R11,R12
2013,Geelong,R12,R13
2013,Melbourne,R12,R13
2013,North Melbourne,R12,R13
2013,St Kilda,R12,R13
2013,Sydney,R12,R13
2013,West Coast,R12,R13
2013,Adelaide,R13,R14
2013,Carlton,R13,R14
2013,Collingwood,R13,R14
2013,Essendon,R13,R14
2013,Gold Coast,R13,R14
2013,GWS,R13,R14
2014,Adelaide,R8,R9
2014,Collingwood,R8,R9
2014,Geelong,R8,R9
2014,North Melbourne,R8,R9
2014,Richmond,R8,R9
2014,Gold Coast,R8,R9
2014,Carlton,R9,R10
2014,Western Bulldogs,R9,R10
2014,Hawthorn,R9,R10
2014,Port Adelaide,R9,R10
2014,West Coast,R9,R10
2014,GWS,R9,R10
2014,Essendon,R10,R11
2014,Fremantle,R10,R11
2014,Melbourne,R10,R11
2014,St Kilda,R10,R11
2014,Sydney,R10,R11
2014,Brisbane Lions,R10,R11
2015,Adelaide,R11,R12
2015,Carlton,R11,R12
2015,Western Bulldogs,R11,R12
2015,Hawthorn,R11,R12
2015,Richmond,R11,R12
2015,Brisbane Lions,R11,R12
2015,Collingwood,R12,R13
2015,Essendon,R12,R13
2015,Fremantle,R12,R13
2015,St Kilda,R12,R13
2015,Sydney,R12,R13
2015,Gold Coast,R12,R13
2015,Geelong,R13,R15
2015,Melbourne,R13,R14
2015,North Melbourne,R13,R14
2015,Port Adelaide,R13,R14
2015,West Coast,R13,R14
2015,GWS,R13,R14
2016,Adelaide,R13,R14
2016,Carlton,R13,R14
2016,Collingwood,R13,R14
2016,Richmond,R13,R14
2016,St Kilda,R13,R14
2016,Gold Coast,R13,R14
2016,Essendon,R14,R15
2016,Western Bulldogs,R14,R15
2016,Melbourne,R14,R15
2016,Port Adelaide,R14,R15
2016,Sydney,R14,R15
2016,West Coast,R14,R15
2016,Fremantle,R15,R16
2016,Geelong,R15,R16
