Club,Year,Members
Adelaide,2016,63920
Brisbane,2016,23262
Carlton,2016,50202
Collingwood,2016,55000
Essendon,2016,55428
Fitzroy,2016,NA
Fremantle,2016,51639
Geelong,2016,52040
Gold Coast,2016,12853
Greater Western Sydney,2016,15311
Hawthorn,2016,75352
Melbourne,2016,39211
North Melbourne,2016,45105
Port Adelaide,2016,60000
Richmond,2016,72330
St Kilda,2016,38067
Sydney,2016,56523
West Coast,2016,65253
Western Bulldogs,2016,40032
Adelaide,2015,52920
Brisbane,2015,25408
Carlton,2015,47305
Collingwood,2015,75037
Essendon,2015,60818
Fitzroy,2015,NA
Fremantle,2015,51433
Geelong,2015,44312
Gold Coast,2015,13643
Greater Western Sydney,2015,13480
Hawthorn,2015,72924
Melbourne,2015,35953
North Melbourne,2015,41012
Port Adelaide,2015,54057
Richmond,2015,70809
St Kilda,2015,32746
Sydney,2015,48836
West Coast,2015,60221
Western Bulldogs,2015,35222
Adelaide,2014,54249
Brisbane,2014,24012
Carlton,2014,47485
Collingwood,2014,79347
Essendon,2014,60626
Fitzroy,2014,NA
Fremantle,2014,48777
Geelong,2014,43803
Gold Coast,2014,13478
Greater Western Sydney,2014,13040
Hawthorn,2014,68650
Melbourne,2014,35911
North Melbourne,2014,39060
Port Adelaide,2014,48968
Richmond,2014,66122
St Kilda,2014,30739
Sydney,2014,40126
West Coast,2014,58529
Western Bulldogs,2014,31538
Adelaide,2013,46405
Brisbane,2013,24130
Carlton,2013,50564
Collingwood,2013,78427
Essendon,2013,56173
Fitzroy,2013,NA
Fremantle,2013,43880
Geelong,2013,42884
Gold Coast,2013,12502
Greater Western Sydney,2013,12681
Hawthorn,2013,63353
Melbourne,2013,33177
North Melbourne,2013,34607
Port Adelaide,2013,39838
Richmond,2013,60321
St Kilda,2013,32707
Sydney,2013,36358
West Coast,2013,58501
Western Bulldogs,2013,30209
Adelaide,2012,46005
Brisbane,2012,20762
Carlton,2012,45440
Collingwood,2012,72688
Essendon,2012,47708
Fitzroy,2012,NA
Fremantle,2012,42918
Geelong,2012,40205
Gold Coast,2012,11204
Greater Western Sydney,2012,10241
Hawthorn,2012,60841
Melbourne,2012,35459
North Melbourne,2012,33423
Port Adelaide,2012,35543
Richmond,2012,53027
St Kilda,2012,35440
Sydney,2012,29873
West Coast,2012,57377
Western Bulldogs,2012,30007
Adelaide,2011,46520
Brisbane,2011,22338
Carlton,2011,43971
Collingwood,2011,71796
Essendon,2011,50275
Fitzroy,2011,NA
Fremantle,2011,43975
Geelong,2011,39426
Gold Coast,2011,11270
Greater Western Sydney,2011,NA
Hawthorn,2011,59142
Melbourne,2011,36937
North Melbourne,2011,29914
Port Adelaide,2011,36624
Richmond,2011,47655
St Kilda,2011,39276
Sydney,2011,34679
West Coast,2011,54040
Western Bulldogs,2011,32026
Adelaide,2010,45515
Brisbane,2010,26779
Carlton,2010,40480
Collingwood,2010,48408
Essendon,2010,40589
Fitzroy,2010,NA
Fremantle,2010,39854
Geelong,2010,40326
Gold Coast,2010,NA
Greater Western Sydney,2010,NA
Hawthorn,2010,53978
Melbourne,2010,33358
North Melbourne,2010,26953
Port Adelaide,2010,29092
Richmond,2010,32960
St Kilda,2010,39021
Sydney,2010,28671
West Coast,2010,44160
Western Bulldogs,2010,32077
Adelaide,2009,46472
Brisbane,2009,24873
Carlton,2009,42408
Collingwood,2009,45972
Essendon,2009,40412
Fitzroy,2009,NA
Fremantle,2009,39206
Geelong,2009,37160
Gold Coast,2009,NA
Greater Western Sydney,2009,NA
Hawthorn,2009,52496
Melbourne,2009,31506
North Melbourne,2009,28340
Port Adelaide,2009,30605
Richmond,2009,36981
St Kilda,2009,31906
Sydney,2009,26269
West Coast,2009,43927
Western Bulldogs,2009,28215
Adelaide,2008,48720
Brisbane,2008,22737
Carlton,2008,39360
Collingwood,2008,42498
Essendon,2008,41947
Fitzroy,2008,NA
Fremantle,2008,43366
Geelong,2008,36850
Gold Coast,2008,NA
Greater Western Sydney,2008,NA
Hawthorn,2008,41436
