"Body area","Injury type","2011","2012","2013","2002-04","2005-07","2008-10","2011-13","Comparisons"
"Head/neck","Concussion","2.2","1.6","1.3","1.0","0.5","0.7","1.7","* $"
,"Facial fractures","1.6","1.5","2.6","1.5","0.9","1.0","1.9","*"
,"Neck sprains","1.5","0.1","0.3","0.2","0.6","0.4","0.6",""
,"Other head/neck injuries","0.2","0.3","0.2","0.4","1.0","0.5","0.2",""
"Shoulder/arm/elbow","Shoulder sprains and dislocations","12.1","9.0","7.1","5.8","8.3","9.6","9.4","$"
,"A/C joint injuries","2.3","1.0","2.0","1.9","2.0","1.4","1.8",""
,"Fractured clavicles","0.6","0.6","1.4","2.2","1.6","0.8","0.9","^"
,"Elbow sprains or joint injuries","1.3","0.7","0.4","0.5","0.6","0.7","0.8",""
,"Other shoulder/ arm/ elbow injuries","1.3","2.1","1.2","2.2","1.6","0.7","1.5","* ^"
"Forearm/wrist/hand","Forearm/wrist/hand fractures","5.4","3.3","2.9","3.2","3.5","3.8","3.8",""
,"Other hand/wrist/forearm injuries","1.8","1.6","1.7","2.1","1.6","1.1","1.7",""
"Trunk/back","Rib and chest wall injuries","0.7","0.9","1.7","1.5","1.6","1.1","1.1","^"
,"Lumbar and thoracic spine injuries","5.9","5.9","4.7","4.4","4.9","5.5","5.5",""
,"Other buttock/back/trunk injuries","1.7","1.7","0.1","1.8","1.2","1.2","1.2",""
"Hip/groin/thigh","Groin strains/osteitis pubis","7.9","7.1","7.0","14.2","14.2","13.2","7.4","# ^"
,"Hamstring strains","16.5","21.5","20.8","18.6","21.6","22.7","19.7","#"
,"Quadriceps strains","5.7","4.0","5.1","4.8","5.8","7.1","4.9","#"
,"Thigh and hip haematomas","0.7","0.5","2.0","1.4","1.3","1.2","1.0",""
,"Hip joint/impingement injuries","5.7","5.6","4.6","1.4","2.6","4.2","5.3","$"
,"Other hip/groin/thigh injuries","0.2","0.0","0.0","0.3","0.1","0.7","0.1","#"
"Knee","Knee ACL","13.6","13.5","17.8","12.1","12.9","11.4","14.9",""
,"Knee MCL","3.2","3.5","2.0","2.9","3.1","2.9","2.9",""
,"Knee PCL","4.8","2.0","3.3","3.6","2.0","2.2","3.4",""
,"Knee cartilage","7.6","4.8","9.7","6.4","7.5","10.8","7.3","# $"
,"Knee tendon injuries","2.3","2.8","3.1","2.5","1.7","0.9","2.7","*"
,"Other knee injuries","3.7","3.2","3.7","2.4","3.5","3.8","3.5",""
"Shin/ankle/foot","Ankle joint sprains, including syndesmosis sprains","8.7","10.5","12.1","5.9","8.2","8.4","10.5","*$"
,"Calf strains","5.5","7.1","10.6","3.3","3.7","3.7","7.7","*$"
,"Achilles tendon injuries","4.0","5.0","2.2","1.1","2.0","3.2","3.7","$"
,"Leg and foot fractures","4.6","4.5","4.3","4.9","3.7","6.1","4.5",""
,"Leg and foot stress fractures","10.6","9.1","10.9","5.4","7.0","9.0","10.2","$"
,"Other leg/foot/ankle injuries","9.3","6.6","6.9","3.4","4.2","5.7","7.6","* $"
"Medical ","Medical illnesses","3.2","4.2","4.2","3.6","2.5","3.4","3.8","$"
"Non-football injuries",,"0.5","2.1","0.3","1.3","0.7","1.6","1.0",""
"MISSED GAMES/CLUB/SEASON","","157.1","147.7","158.1","128.2","138.1","150.7","154.2","$"
