name,href,dob
Caitlin Gould,https://en.wikipedia.org//w/index.php?title=Caitlin_Gould&action=edit&redlink=1,NA
Eloise Jones,https://en.wikipedia.org//wiki/Eloise_Jones_(footballer),1999-04-28
Angela Foley,https://en.wikipedia.org//wiki/Angela_Foley,1988-12-13
Chloe Scheer,https://en.wikipedia.org//wiki/Chloe_Scheer,1999-09-07
Courtney Gum,https://en.wikipedia.org//wiki/Courtney_Gum,1981-09-25
Hannah Button,https://en.wikipedia.org//wiki/Hannah_Button,1996-11-27
Nikki Gore,https://en.wikipedia.org//wiki/Nikki_Gore,2000-12-11
Najwa Allen,https://en.wikipedia.org//w/index.php?title=Najwa_Allen&action=edit&redlink=1,NA
Deni Varnhagen,https://en.wikipedia.org//wiki/Deni_Varnhagen,1992-10-26
Ebony Marinoff,https://en.wikipedia.org//wiki/Ebony_Marinoff,1997-11-15
Rhiannon Metcalfe,https://en.wikipedia.org//wiki/Rhiannon_Metcalfe,1991-09-27
Chelsea Biddell,https://en.wikipedia.org//w/index.php?title=Chelsea_Biddell&action=edit&redlink=1,NA
Erin Phillips,https://en.wikipedia.org//wiki/Erin_Phillips,1985-05-19
Stevie-Lee Thompson,https://en.wikipedia.org//wiki/Stevie-Lee_Thompson,1992-03-23
Danielle Ponter,https://en.wikipedia.org//wiki/Danielle_Ponter,2000-01-08
Madison Newman,https://en.wikipedia.org//w/index.php?title=Madison_Newman&action=edit&redlink=1,NA
Ruth Wallace,https://en.wikipedia.org//wiki/Ruth_Wallace,1993-02-01
Sophie Li,https://en.wikipedia.org//wiki/Sophie_Li,1988-03-31
Nicole Campbell,https://en.wikipedia.org//w/index.php?title=Nicole_Campbell&action=edit&redlink=1,NA
Montana McKinnon,https://en.wikipedia.org//w/index.php?title=Montana_McKinnon&action=edit&redlink=1,NA
Courtney Cramey,https://en.wikipedia.org//wiki/Courtney_Cramey,1985-11-28
Justine Mules,https://en.wikipedia.org//wiki/Justine_Mules,1994-12-15
Jess Foley,https://en.wikipedia.org//wiki/Jess_Foley_(sportswoman),1983-04-20
