url,born,height,weight,games,debut,last
https://afltables.com/afl/stats/players/V/Vic_Aanensen.html,1953-01-16,198,99,40,1973-04-07,1976-04-03
https://afltables.com/afl/stats/players/A/Angus_Abbey.html,1925-11-15,180,83,78,1949-06-04,1954-09-25
https://afltables.com/afl/stats/players/R/Ross_Abbey.html,1953-01-21,185,86,123,1971-04-12,1981-03-28
https://afltables.com/afl/stats/players/C/Charles_Abbott.html,1939-06-10,180,76,17,1961-05-27,1963-09-21
https://afltables.com/afl/stats/players/C/Clarrie_Abbott.html,1888-11-09,171,0,3,1907-05-11,1912-05-04
https://afltables.com/afl/stats/players/E/Ernie_Abbott.html,1883-07-12,174,0,1,1908-08-01,1908-08-01
https://afltables.com/afl/stats/players/F/Frank_Abbott.html,1885-07-06,177,0,31,1906-05-05,1912-06-15
https://afltables.com/afl/stats/players/G/Gordon_Abbott.html,1914-09-26,185,91,133,1936-05-02,1947-06-07
https://afltables.com/afl/stats/players/L/Les_Abbott.html,1885-06-09,178,0,39,1904-06-25,1912-08-17
https://afltables.com/afl/stats/players/P/Paddy_Abbott.html,1889-02-02,183,77,62,1913-05-03,1920-08-21
https://afltables.com/afl/stats/players/P/Paul_Abbott.html,1964-10-25,195,92,111,1984-06-23,1993-07-31
https://afltables.com/afl/stats/players/R/Ryan_Abbott.html,1991-06-25,200,100,5,2018-08-03,2019-05-18
https://afltables.com/afl/stats/players/P/Percy_Abercrombie.html,1884-01-01,177,73,14,1903-08-22,1905-09-09
https://afltables.com/afl/stats/players/B/Bob_Abernethy.html,1900-03-04,177,74,2,1923-06-09,1923-06-23
https://afltables.com/afl/stats/players/B/Bruce_Abernethy.html,1962-05-10,185,86,112,1982-03-27,1992-08-09
https://afltables.com/afl/stats/players/J/Jim_Abernethy.html,1902-11-04,175,81,130,1923-05-12,1932-07-16
https://afltables.com/afl/stats/players/D/Dick_Abikhair.html,1914-07-07,165,80,120,1934-08-18,1945-08-25
https://afltables.com/afl/stats/players/G/Gary_Ablett0.html,1961-10-01,185,97,248,1982-04-03,1996-09-08
https://afltables.com/afl/stats/players/G/Gary_Ablett1.html,1984-05-14,182,87,339,2002-03-30,2019-08-03
https://afltables.com/afl/stats/players/G/Geoff_Ablett.html,1955-03-13,180,80,229,1973-05-19,1985-06-16
https://afltables.com/afl/stats/players/K/Kevin_Ablett.html,1958-03-26,185,86,38,1977-04-23,1985-04-20
https://afltables.com/afl/stats/players/L/Len_Ablett.html,1916-05-10,184,87,70,1939-04-22,1943-09-25
https://afltables.com/afl/stats/players/L/Luke_Ablett.html,1982-11-22,184,89,133,2002-06-30,2009-08-29
https://afltables.com/afl/stats/players/N/Nathan_Ablett.html,1985-12-13,195,95,34,2005-08-13,2011-08-28
https://afltables.com/afl/stats/players/I/Ian_Abraham.html,1941-10-24,180,86,3,1960-07-09,1961-04-15
https://afltables.com/afl/stats/players/W/Winston_Abraham.html,1974-09-29,175,83,110,1995-04-01,2001-03-30
https://afltables.com/afl/stats/players/O/Owen_Abrahams.html,1933-07-25,180,83,132,1954-05-29,1962-08-25
https://afltables.com/afl/stats/players/T/Ted_Absolom.html,1875-08-30,170,0,11,1900-06-23,1900-09-08
https://afltables.com/afl/stats/players/D/David_Ackerly.html,1960-11-27,178,81,191,1979-06-09,1989-08-19
https://afltables.com/afl/stats/players/C/Cain_Ackland.html,1982-03-16,196,101,74,2001-03-31,2008-05-17
https://afltables.com/afl/stats/players/B/Blake_Acres.html,1995-10-07,190,92,72,2014-05-03,2019-07-27
https://afltables.com/afl/stats/players/K/Ken_Adam.html,1900-08-11,182,76,31,1922-05-06,1925-09-12
https://afltables.com/afl/stats/players/R/Roy_Adam.html,1883-03-11,179,0,14,1901-08-10,1905-05-06
https://afltables.com/afl/stats/players/A/Artie_Adams.html,1891-09-04,182,0,3,1915-05-08,1915-06-05
https://afltables.com/afl/stats/players/B/Bill_Adams.html,1900-12-11,180,86,67,1924-05-03,1932-09-03
https://afltables.com/afl/stats/players/E/Ernie_Adams.html,1878-01-20,173,0,11,1900-05-05,1901-06-29
https://afltables.com/afl/stats/players/F/Frank_Adams.html,1935-06-12,168,76,164,1953-08-01,1964-09-19
