season,href,name,dob,height,weight,age_year_end_days,age_year_end_years
1991,pp-west-coast-eagles--guy-mckenna,Guy McKenna,1969-05-11,184,88,8259,22.627
1991,pp-essendon-bombers--anthony-daniher,Anthony Daniher,1963-01-21,191,90,10561,28.934
1991,pp-adelaide-crows--nigel-smart,Nigel Smart,1969-05-21,188,91,8249,22.6
1991,pp-st-kilda-saints--david-grant,David Grant,1966-08-07,184,84,9267,25.389
1991,pp-fitzroy-lions--paul-roos,Paul Roos,1963-06-27,188,88,10404,28.504
1991,pp-geelong-cats--ken-hinkley,Ken Hinkley,1966-09-30,185,80,9213,25.241
1991,pp-west-coast-eagles--chris-mainwaring,Chris Mainwaring,1965-12-27,177,85,9490,26
1991,pp-geelong-cats--paul-couch,Paul Couch,1964-07-19,180,82,10016,27.441
1991,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,8297,22.732
1991,pp-collingwood-magpies--gavin-brown,Gavin Brown,1967-09-25,184,86,8853,24.255
1991,pp-st-kilda-saints--stewart-loewe,Stewart Loewe,1968-05-23,194,108,8612,23.595
1991,pp-st-kilda-saints--nicky-winmar,Nicky Winmar,1965-09-25,183,81,9583,26.255
1991,pp-collingwood-magpies--tony-francis,Tony Francis,1969-04-01,171,74,8299,22.737
1991,pp-st-kilda-saints--tony-lockett,Tony Lockett,1966-03-09,191,108,9418,25.803
1991,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,8474,23.216
1991,pp-melbourne-demons--jim-stynes,Jim Stynes,1966-04-23,199,99,9373,25.679
1991,pp-geelong-cats--mark-bairstow,Mark Bairstow,1963-07-24,180,87,10377,28.43
1991,pp-sydney-swans--barry-mitchell,Barry Mitchell,1965-12-07,173,70,9510,26.055
1991,pp-geelong-cats--bill-brownless,Bill Brownless,1967-01-28,192,95,9093,24.912
1991,pp-west-coast-eagles--craig-turley,Craig Turley,1965-08-24,185,84,9615,26.342
1992,pp-adelaide-crows--ben-hart,Ben Hart,1974-07-09,190,83,6740,18.466
1992,pp-fitzroy-lions--paul-roos,Paul Roos,1963-06-27,188,88,10770,29.507
1992,pp-essendon-bombers--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,7128,19.529
1992,pp-geelong-cats--ken-hinkley,Ken Hinkley,1966-09-30,185,80,9579,26.244
1992,pp-geelong-cats--barry-stoneham,Barry Stoneham,1968-02-09,194,98,9082,24.882
1992,pp-carlton-blues--mil-hanna,Mil Hanna,1966-04-05,184,91,9757,26.732
1992,pp-west-coast-eagles--dean-kemp,Dean Kemp,1969-02-17,182,81,8708,23.858
1992,pp-hawthorn-hawks--darren-jarman,Darren Jarman,1967-01-28,186,92,9459,25.915
1992,pp-collingwood-magpies--michael-mcguane,Michael McGuane,1967-12-29,186,94,9124,24.997
1992,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,7793,21.351
1992,pp-st-kilda-saints--stewart-loewe,Stewart Loewe,1968-05-23,194,108,8978,24.597
1992,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,11404,31.244
1992,pp-adelaide-crows--tony-mcguinness,Tony McGuinness,1964-05-06,176,76,10456,28.647
1992,pp-hawthorn-hawks--jason-dunstall,Jason Dunstall,1964-08-14,188,98,10356,28.373
1992,pp-st-kilda-saints--tony-lockett,Tony Lockett,1966-03-09,191,108,9784,26.805
1992,pp-western-bulldogs--scott-wynd,Scott Wynd,1970-01-25,201,108,8366,22.921
1992,pp-adelaide-crows--chris-mcdermott,Chris McDermott,1963-11-04,182,92,10640,29.151
1992,pp-hawthorn-hawks--john-platten,John Platten,1963-03-17,170,70,10872,29.786
1992,pp-carlton-blues--stephen-kernahan,Stephen Kernahan,1963-09-01,196,102,10704,29.326
1992,pp-geelong-cats--mark-bairstow,Mark Bairstow,1963-07-24,180,87,10743,29.433
1993,pp-adelaide-crows--ben-hart,Ben Hart,1974-07-09,190,83,7105,19.466
1993,pp-fitzroy-lions--alastair-lynch,Alastair Lynch,1968-06-19,193,97,9316,25.523
1993,pp-essendon-bombers--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,7493,20.529
1993,pp-west-coast-eagles--guy-mckenna,Guy McKenna,1969-05-11,184,88,8990,24.63
1993,pp-essendon-bombers--mark-harvey,Mark Harvey,1965-06-11,184,87,10420,28.548
1993,pp-carlton-blues--andrew-mckay,Andrew McKay,1970-07-14,185,90,8561,23.455
1993,pp-adelaide-crows--greg-anderson,Greg Anderson,1966-05-14,188,92,10083,27.625
1993,pp-carlton-blues--greg-williams,Greg Williams,1963-09-30,176,86,11040,30.247
1993,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,9028,24.734
1993,pp-carlton-blues--craig-bradley,Craig Bradley,1963-10-23,180,81,11017,30.184
1993,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,8244,22.586
1993,pp-melbourne-demons--garry-lyon,Garry Lyon,1967-09-13,193,96,9596,26.29
1993,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,9205,25.219
1993,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,11769,32.244
1993,pp-adelaide-crows--tony-modra,Tony Modra,1969-03-01,188,95,9061,24.825
1993,pp-melbourne-demons--jim-stynes,Jim Stynes,1966-04-23,199,99,10104,27.682
1993,pp-hawthorn-hawks--ben-allan,Ben Allan,1968-10-15,182,83,9198,25.2
1993,pp-adelaide-crows--tony-mcguinness,Tony McGuinness,1964-05-06,176,76,10821,29.647
1993,pp-adelaide-crows--nigel-smart,Nigel Smart,1969-05-21,188,91,8980,24.603
1993,pp-st-kilda-saints--nathan-burke,Nathan Burke,1970-02-06,180,85,8719,23.888
1994,pp-west-coast-eagles--david-hart,David Hart,1964-03-03,176,83,11250,30.822
1994,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,10066,27.578
1994,pp-hawthorn-hawks--chris-langford,Chris Langford,1963-01-02,193,96,11676,31.989
1994,pp-west-coast-eagles--guy-mckenna,Guy McKenna,1969-05-11,184,88,9355,25.63
1994,pp-west-coast-eagles--glen-jakovich,Glen Jakovich,1973-03-24,193,102,7942,21.759
1994,pp-geelong-cats--michael-mansfield,Michael Mansfield,1971-08-08,183,85,8536,23.386
1994,pp-melbourne-demons--stephen-tingay,Stephen Tingay,1970-08-13,181,85,8896,24.373
1994,pp-carlton-blues--greg-williams,Greg Williams,1963-09-30,176,86,11405,31.247
1994,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,9393,25.734
1994,pp-collingwood-magpies--gavin-brown,Gavin Brown,1967-09-25,184,86,9949,27.258
1994,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,8609,23.586
1994,pp-melbourne-demons--garry-lyon,Garry Lyon,1967-09-13,193,96,9961,27.29
1994,pp-hawthorn-hawks--jason-dunstall,Jason Dunstall,1964-08-14,188,98,11086,30.373
1994,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,12134,33.244
1994,pp-hawthorn-hawks--ben-allan,Ben Allan,1968-10-15,182,83,9563,26.2
1994,pp-adelaide-crows--shaun-rehn,Shaun Rehn,1971-08-17,203,106,8527,23.362
1994,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,8523,23.351
1994,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,9570,26.219
1994,pp-adelaide-crows--mark-ricciuto,Mark Ricciuto,1975-06-08,184,92,7136,19.551
1994,pp-carlton-blues--craig-bradley,Craig Bradley,1963-10-23,180,81,11382,31.184
1994,pp-carlton-blues--stephen-kernahan,Stephen Kernahan,1963-09-01,196,102,11434,31.326
1995,pp-essendon-bombers--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,8223,22.529
1995,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,10431,28.578
1995,pp-carlton-blues--ang-christou,Ang Christou,1972-01-16,190,90,8740,23.945
1995,pp-geelong-cats--michael-mansfield,Michael Mansfield,1971-08-08,183,85,8901,24.386
1995,pp-west-coast-eagles--glen-jakovich,Glen Jakovich,1973-03-24,193,102,8307,22.759
