year,games,player,votes,source
2006,25,Barry Hall,481,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,25,Leo Barry,421,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,25,Adam Goodes,520,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,25,Jude Bolton,357,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,25,Brett Kirk,483,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,25,Ryan O'Keefe,483,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,22,Tadhg Kennelly,354,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,24,Craig Bolton,442,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,24,Amon Buchanan,400,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,24,Luke Ablett,353,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2006,25,Jarrad McVeigh,353,https://www.afl.com.au/news/471123/goodes-wins-skilton-medal
2008,24,Darren Jolly,411,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,24,Jude Bolton,514,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,24,Brett Kirk,568,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,23,Ryan O'Keefe,447,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,22,Tadhg Kennelly,419,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,24,Craig Bolton,384,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,24,Martin Mattner,532,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,24,Paul Bevan,419,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,24,Jarrad McVeigh,578,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2008,23,Jarred Moore,382,https://www.afl.com.au/news/537118/mcveigh-wins-his-first-bob-skilton-medal
2009,22,Rhyce Shaw,453,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Darren Jolly,415,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Adam Goodes,394,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Jude Bolton,306,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Brett Kirk,421,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Ryan O'Keefe,528,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Martin Mattner,330,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Heath Grundy,318,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,18,Jarrad McVeigh,366,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2009,22,Kieren Jack,346,https://www.afl.com.au/news/505744/okeefe-named-club-champion
2010,24,Adam Goodes,464,https://www.sydneyswans.com.au/news/763823/kieren-jack-2010-club-champion
2010,24,Brett Kirk,455,https://www.sydneyswans.com.au/news/763823/kieren-jack-2010-club-champion
2010,23,Ryan O'Keefe,444,https://www.sydneyswans.com.au/news/763823/kieren-jack-2010-club-champion
