Adelaide	7,196,244 	1,000,000 	2,156,095 	10,352,339 
Brisbane Lions	7,196,244 	2,994,000 	1,067,155 	11,257,399 
Carlton	7,196,244 	1,000,000 	3,313,913 	11,510,157 
Collingwood	7,196,244 	1,275,000 	3,585,298 	12,056,542 
Essendon	7,196,244 	3,325,000 	2,603,589 	13,124,833 
Fremantle	7,196,244 	600,000 	2,558,717 	10,354,961 
Geelong Cats	7,196,244 	1,137,500 	3,170,480 	11,504,224 
Gold Coast Suns	7,196,244 	500,000 	2,078,942 	9,775,186 
GWS Giants	7,196,244 	1,734,781 	1,808,586 	10,739,611 
Hawthorn	7,196,244 	575,000 	4,094,550 	11,865,794 
Melbourne	7,196,244 	3,885,000 	999,547 	12,080,791 
North Melbourne	7,196,244 	3,045,000 	2,535,812 	12,777,056 
Port Adelaide	7,196,244 	2,450,000 	2,440,456 	12,086,700 
Richmond	7,196,244	2,475,000 	3,208,223 	12,879,467 
St Kilda	7,196,244	2,370,000 	3,219,521 	12,785,765 
Sydney Swans	7,196,244	1,945,609 	2,181,083 	11,322,936 
West Coast Eagles	7,196,244	575,000 	1,700,521 	9,471,765 
Western Bulldogs	7,196,244	2,995,000 	3,015,218 	13,206,462 
