name,href,dob,height,weight,position,draft,sc
"Aarts, Jake",pp-richmond-tigers--jake-aarts,1994-12-08,177,75,Forward,16,123900
"Abbott, Ryan",pp-st-kilda-saints--ryan-abbott,1991-06-25,200,100,Ruck,69,250900
"Ablett, Gary",pp-geelong-cats--gary-jnr-ablett,1984-05-14,182,87,Forward,40,519500
"Acres, Blake",pp-fremantle-dockers--blake-acres,1995-10-07,191,90,"Midfield, Forward",19,384400
"Adams, Marcus",pp-brisbane-lions--marcus-adams,1993-06-30,192,93,Defender,35,316300
"Adams, Taylor",pp-collingwood-magpies--taylor-adams,1993-09-20,181,83,Midfield,13,525100
"Ah Chee, Brendon",pp-west-coast-eagles--brendon-ah-chee,1993-12-21,189,88,Midfield,33,266100
"Ah Chee, Callum",pp-brisbane-lions--callum-ah-chee,1997-10-09,182,78,Midfield,8,311700
"Ahern, Paul",pp-kangaroos--paul-ahern,1996-08-01,183,85,"Defender, Midfield",7,337900
"Ainsworth, Ben",pp-gold-coast-suns--ben-ainsworth,1998-02-10,178,77,"Midfield, Forward",4,329000
"Ainsworth, Brayden",pp-west-coast-eagles--brayden-ainsworth,1998-11-21,184,80,Midfield,32,205300
"Aish, James",pp-fremantle-dockers--james-aish,1995-11-08,183,80,Defender,7,353000
"Alabakis, Sam",pp-st-kilda-saints--sam-alabakis,1997-05-02,211,105,Ruck,NA,123900
"Aliir, Aliir",pp-sydney-swans--aliir-aliir,1994-09-05,195,97,Defender,44,421100
"Allen, Oscar",pp-west-coast-eagles--oscar-allen,1999-03-19,192,87,Forward,21,357900
"Allison, Jacob",pp-brisbane-lions--jacob-allison,1998-04-16,195,87,Midfield,21,176800
"Amartey, Joel",pp-sydney-swans--joel-amartey,1999-09-02,197,96,Ruck,28,123900
"Ambrose, Patrick",pp-essendon-bombers--patrick-ambrose,1991-09-01,191,92,Defender,26,275200
"Amon, Karl",pp-port-adelaide-power--karl-amon,1995-08-19,181,71,Midfield,68,418500
"Anderson, Jed",pp-kangaroos--jed-anderson,1994-02-02,179,81,Midfield,NA,470200
"Anderson, Noah",pp-gold-coast-suns--noah-anderson,2001-02-17,188,86,Midfield,2,202800
"Andrews, Harris",pp-brisbane-lions--harris-andrews,1996-12-11,201,100,Defender,61,449300
"Answerth, Noah",pp-brisbane-lions--noah-answerth,1999-08-06,182,82,Defender,55,336700
"Appleby, Flynn",pp-collingwood-magpies--flynn-appleby,1999-01-21,187,86,Defender,6,222900
"Ash, Lachlan",pp-greater-western-sydney-giants--lachlan-ash,2001-06-21,186,80,"Defender, Midfield",4,193800
"Astbury, David",pp-richmond-tigers--david-astbury,1991-02-26,195,96,Defender,35,363800
"Atkins, Rory",pp-adelaide-crows--rory-atkins,1994-07-12,186,85,Midfield,81,410000
"Atkins, Tom",pp-geelong-cats--tom-atkins,1995-09-18,180,86,Forward,11,327200
"Atley, Joe",pp-port-adelaide-power--joe-atley,1998-08-04,186,84,Midfield,32,215000
"Atley, Shaun",pp-kangaroos--shaun-atley,1992-09-13,189,86,Defender,17,403700
"Austin, Logan",pp-st-kilda-saints--logan-austin,1995-07-08,196,92,Defender,69,320900
"Bailey, Zac",pp-brisbane-lions--zac-bailey,1999-09-23,182,83,"Defender, Midfield",15,263200
"Baker, Liam",pp-richmond-tigers--liam-baker,1998-01-27,173,72,"Defender, Forward",18,403900
"Baker, Oskar",pp-melbourne-demons--oskar-baker,1998-05-25,184,82,Midfield,48,261900
"Ballard, Charlie",pp-gold-coast-suns--charlie-ballard,1999-07-23,195,91,Defender,42,325800
"Ballenden, Connor",pp-brisbane-lions--connor-ballenden,1999-03-29,200,101,Forward,43,123900
"Balta, Noah",pp-richmond-tigers--noah-balta,1999-10-23,194,100,"Forward, Ruck",25,257700
