Game,Season,Date,Round,Round.Number,Home.Points,Away.Points,HA.Name,Team,ByeRound,Margin,Result,Venue,Odds,Favourite,Opponent
13775,2011,2011-04-02,R2,2,52,171,Home.Team,Gold Coast,R1,-119,L,Gabba,3.96,N,Carlton
13782,2011,2011-04-09,R3,3,54,79,Home.Team,Adelaide,R2,-25,L,AAMI Stadium,1.49,Y,Fremantle
13794,2011,2011-04-17,R4,4,127,98,Away.Team,North Melbourne,R3,-29,L,Domain Stadium,4.82,N,Fremantle
13795,2011,2011-04-21,R5,5,76,89,Home.Team,Brisbane Lions,R4,-13,L,Gabba,3.66,N,St Kilda
13795,2011,2011-04-21,R5,5,76,89,Away.Team,St Kilda,R4,13,W,Gabba,1.28,Y,Brisbane Lions
13800,2011,2011-04-25,R5,5,85,78,Away.Team,Western Bulldogs,R4,-7,L,Domain Stadium,2.15,N,Fremantle
13802,2011,2011-04-28,R6,6,106,52,Home.Team,West Coast,R5,54,W,Domain Stadium,1.56,Y,Melbourne
13802,2011,2011-04-28,R6,6,106,52,Away.Team,Melbourne,R5,-54,L,Domain Stadium,2.41,N,West Coast
13803,2011,2011-04-29,R6,6,71,87,Home.Team,Sydney,R5,-16,L,SCG,1.66,Y,Carlton
13809,2011,2011-05-06,R7,7,72,104,Away.Team,Hawthorn,R6,32,W,AAMI Stadium,1.2,Y,Port Adelaide
13811,2011,2011-05-07,R7,7,127,61,Home.Team,Geelong,R6,66,W,GMHBA Stadium,1.07,Y,North Melbourne
13812,2011,2011-05-07,R7,7,148,99,Away.Team,Fremantle,R6,-49,L,MCG,1.64,Y,Richmond
13817,2011,2011-05-13,R8,8,65,62,Away.Team,Collingwood,R7,-3,L,MCG,1.48,Y,Geelong
13825,2011,2011-05-20,R9,9,100,102,Home.Team,Carlton,R8,-2,L,Marvel Stadium,2.74,N,Geelong
13836,2011,2011-05-28,R10,10,73,139,Home.Team,Gold Coast,R9,-66,L,Metricon Stadium,12.5,N,Geelong
13841,2011,2011-06-03,R11,11,68,101,Home.Team,Essendon,R10,-33,L,MCG,1.24,Y,Melbourne
13854,2011,2011-06-12,R12,12,75,65,Away.Team,Richmond,R11,-10,L,SCG,3.86,N,Sydney
13864,2011,2011-06-19,R13,13,110,88,Away.Team,Port Adelaide,R12,-22,L,Domain Stadium,8.45,N,West Coast
13868,2011,2011-06-25,R14,14,93,99,Away.Team,Collingwood,R13,6,W,Accor Stadium,1.15,Y,Sydney
13880,2011,2011-07-03,R15,15,70,79,Away.Team,St Kilda,R14,9,W,Marvel Stadium,1.79,Y,North Melbourne
13881,2011,2011-07-08,R16,16,96,88,Home.Team,West Coast,R15,8,W,Domain Stadium,2.25,N,Geelong
13888,2011,2011-07-15,R17,17,73,84,Home.Team,Adelaide,R16,-11,L,AAMI Stadium,2.05,N,Essendon
13892,2011,2011-07-16,R17,17,113,92,Home.Team,Melbourne,R16,21,W,TIO Stadium,1.27,Y,Port Adelaide
13893,2011,2011-07-17,R17,17,87,98,Away.Team,Fremantle,R16,11,W,SCG,3.61,N,Sydney
13902,2011,2011-07-24,R18,18,78,132,Away.Team,Hawthorn,R17,54,W,MCG,1.21,Y,Melbourne
13910,2011,2011-07-31,R19,19,111,79,Away.Team,Port Adelaide,R18,-32,L,AAMI Stadium,2.29,N,Adelaide
13914,2011,2011-08-06,R20,20,100,99,Away.Team,Sydney,R19,-1,L,Marvel Stadium,1.89,N,Essendon
13916,2011,2011-08-07,R20,20,105,110,Home.Team,Brisbane Lions,R19,-5,L,Gabba,1.68,Y,Adelaide
13918,2011,2011-08-07,R20,20,147,90,Away.Team,Richmond,R19,-57,L,Domain Stadium,7.56,N,West Coast
13922,2011,2011-08-13,R21,21,101,150,Home.Team,Western Bulldogs,R20,-49,L,Marvel Stadium,2.23,N,Essendon
13931,2011,2011-08-20,R22,22,143,45,Home.Team,North Melbourne,R21,98,W,Marvel Stadium,1.34,Y,Fremantle
13937,2011,2011-08-27,R23,23,86,99,Home.Team,Geelong,R22,-13,L,GMHBA Stadium,1.07,Y,Sydney
13948,2011,2011-09-03,R24,24,66,86,Home.Team,Carlton,R23,-20,L,MCG,1.71,Y,St Kilda
13954,2011,2011-09-11,EF,25,149,87,Away.Team,Essendon,R24,-62,L,MCG,2.94,N,Carlton
14056,2012,2012-06-14,R12,12,79,69,Home.Team,West Coast,R11,10,W,Domain Stadium,1.28,Y,Carlton
14057,2012,2012-06-15,R12,12,115,111,Home.Team,Adelaide,R11,4,W,AAMI Stadium,1.47,Y,St Kilda
14058,2012,2012-06-16,R12,12,74,86,Home.Team,GWS,R11,-12,L,Giants Stadium,10.93,N,Richmond
14059,2012,2012-06-16,R12,12,80,87,Away.Team,North Melbourne,R11,7,W,Metricon Stadium,1.16,Y,Gold Coast
14060,2012,2012-06-17,R12,12,135,70,Away.Team,Brisbane Lions,R11,-65,L,MCG,8.94,N,Hawthorn
14061,2012,2012-06-17,R12,12,95,57,Home.Team,Western Bulldogs,R11,38,W,Marvel Stadium,1.45,Y,Port Adelaide
14062,2012,2012-06-22,R13,13,80,74,Home.Team,Sydney,R12,6,W,SCG,1.6,Y,Geelong
14062,2012,2012-06-22,R13,13,80,74,Away.Team,Geelong,R12,-6,L,SCG,2.3,N,Sydney
14064,2012,2012-06-23,R13,13,85,82,Home.Team,Collingwood,R12,3,W,MCG,1.4,Y,West Coast
14065,2012,2012-06-23,R13,13,89,113,Home.Team,Fremantle,R12,-24,L,Domain Stadium,2.2,N,Essendon
14065,2012,2012-06-23,R13,13,89,113,Away.Team,Essendon,R12,24,W,Domain Stadium,1.65,Y,Fremantle
14066,2012,2012-06-24,R13,13,135,57,Home.Team,Melbourne,R12,78,W,MCG,1.28,Y,GWS
14068,2012,2012-06-29,R14,14,70,120,Home.Team,Carlton,R13,-50,L,MCG,3.43,N,Hawthorn
14068,2012,2012-06-29,R14,14,70,120,Away.Team,Hawthorn,R13,50,W,MCG,1.3,Y,Carlton
